id,point,name, id_outfit_id,tpo_id
1,UZB/UT/Андиж,Узбектелеком,24,1
2,UZB/UT/Пахта,Узбектелеком,24,1
3,UZB/UT/Тшк,Узбектелеком,24,1
4,KAZ/ V-Net,KAZ/ V-Net,90,2
5,KAZ/ V-Net/Алматы,Казахстан V-Net,23,2
6,KAZ/KT/Актобе,Казахстан КТ,23,2
7,KAZ/KT/Алмат,Казахстан,23,2
8,KAZ/KT/Астана,Казахстан,23,2
9,KAZ/KT/ДКП-1,Казахстан,23,2
10,KAZ/KT/ДКП-2,Казахстан КТ,23,2
11,KAZ/KT/Кордай,Казахстан,23,2
12,KAZ/KT/Мерке,Казахстан,23,2
13,KAZ/KT/Сарыбулак,Казахстан,23,2
14,KAZ/KT/Тараз,КазахТелеком,23,2
15,KAZ/KTС/А-Ата,KazTransCom,74,2
16,KAZ/KTС/Атырау,KazTransCom,74,2
17,KAZ/KTС/Атырау-Волжский,Казахстан Казахтелеком,23,2
18,KAZ/KTС/Кордай,KazTransCom,74,2
19,KAZ/TNS,Казахстан TNS-Plus,89,2
20,KAZ/TNS/Алматы,Казахстан TNS-Plus,68,2
21,KAZ/TNS/Кордой,Казахстан TNS-Plus,89,2
22,KAZ/TNS/Тараз,Казахстан TNS-Plus,89,2
23,RU РосТНац.сеть,Россия,20,3
24,RUS/KVT,Россия ЗАО КвантТ Озинки,87,3
25,RUS/KVT/Воронеж,Россия ЗАО КвантТ,87,3
26,RUS/KVT/Озинки,Россия ЗАО КвантТ Озинки,87,3
27,RUS/MEGFON/С-Петер,Россия,71,3
28,RUS/Rn,Россия АО Retn.Net,93,3
29,RUS/Rn/Кордой,RUS/Rn/Кордой,93,3
30,RUS/Rn/Мск,Россия АО Retn.Net Мск,93,3
31,RUS/RT,Россия РТ,20,3
32,RUS/RT/M10,Россия РТ,20,3
33,RUS/RT/M7,Россия РТ,20,3
34,RUS/RT/M9,Россия РТ,20,3
35,RUS/RT/MSK-1,Россия РТ,20,3
36,RUS/RT/MSK-2,Россия РТ,20,3
37,RUS/RT/MSK-5,Россия РТ,20,3
38,RUS/RT/Волжский,Россия РТ,20,3
39,RUS/RT/Краснодар,Краснодар,20,3
40,RUS/RT/Новос,Россия РТ,20,3
41,RUS/RT/Ростов,Россия РТ,20,3
42,RUS/RT/Хабаровск,Россия РТ,20,3
43,RUS/SOVTEL,Россия Совинтел,21,3
44,RUS/SOVTEL/Б.Черниговка,Россия,21,3
45,RUS/SOVTEL/Мск,Россия Совинтел,21,3
46,RUS/TTK,Россия ТТК,82,3
47,RUS/TTK/Наушки,Россия ТТК Наушки,82,3
48,RUS/МТТ,Россия,22,3
49,RUS/МТТ/Мск,Россия МТТ,22,3
50,KAZ/TNS,Казахстан TNS-Plus,89,4
51,KAZ/TNS/Кордой,Казахстан TNS Кордой,89,4
52,KAZ/TNS/Тараз,Казахстан TNS Тараз,89,4
53,0,Расформ,7,7
54,11502,РРС-3 Бугумуюз,10,7
55,20001/MSAN-356,Искра MSAN,1,7
56,20002,Кегеты,1,7
57,20002/MSAN-359,Кегеты MSAN,1,7
58,20003,Сайлык,1,7
59,20003/MSAN-359,Сайлык MSAN-359,1,7
60,20004/MSAN-367,Дон-Арык,1,7
61,20005/MSAN-369,Ленин-Жол,1,7
62,20007/MSAN-368,Калиновка,1,7
63,20008/MSAN-369/1,Виноградное,1,7
64,20009/MSAN-370,Кара-Дюбе,1,7
65,20101/м9,Камышановка  К706/м9,1,7
66,20102,Джыламыш,1,7
67,20102/MSAN-618,Джыламыш MSAN,1,7
68,20103,Жаны-Пахта,1,7
69,20601,Мраморное,1,7
70,20601/м1,Мраморное м1,1,7
71,20601/м2,Мраморное м2,1,7
72,30101,Марказ,13,7
73,30102,Булак Баши,13,7
74,30103,Бужум,13,7
75,30104,Кок-Талаа,13,7
76,30105,Кожо,13,7
77,30109/Рынок,Халмион/рынок,13,7
78,30201/рынок,Рынок,13,7
79,30202,Гулдуромо,13,7
80,35325,РРС-25,10,7
81,35338,РРС-38,10,7
82,35339,РРС-39,10,7
83,35340,РРС-40,10,7
84,35341,РРС-41,10,7
85,35342,РРС-42,10,7
86,35359,РРС-59,10,7
87,35406,РРС-6,10,7
88,35419,РРС-19,10,7
89,35420,РРС-20,10,7
90,35421,РРС-21,10,7
91,35422,РРС-22,10,7
92,35423,РРС-23,10,7
93,35424,РРС-24,10,7
94,35429,РРС-29,10,7
95,35431,РРС-31,10,7
96,35433,РРС-33,7,7
97,35437,РРС-37,10,7
98,35444,РРС-44,10,7
99,35445,РРС-45,10,7
100,35446,РРС-46,10,7
101,35447,РРС-47,10,7
102,35453,РРС-53,10,7
103,35454,РРС-54,10,7
104,35462,РРС-62,10,7
105,35492,РРС-92,10,7
106,35501,РРС Nera,7,7
107,35502,Кара-Жигач НС,7,7
108,35504,РРС-4,10,7
109,35504/ГЦТ,РРС-4 ГЦТ,10,7
110,35504/ГЦТ/C3750,РПО РМТР С3750,10,7
111,35505,РРС-5,10,7
112,35515,РРС-15,10,7
113,35562 DDF,Бишкек ЦАТС-62 DDF,11,7
114,35612,РРС-12,10,7
115,35613,РРС-13,10,7
116,35614,РРС-14,10,7
117,35627,РРС-27,10,7
118,35628,РРС-28,10,7
119,35643,РРС-43,10,7
120,35648,РРС-48,10,7
121,35661,РРС-61,10,7
122,35663,РРС-63,10,7
123,35664,РРС-64,10,7
124,35701,Ош Nera,5,7
125,35718,РРС-18,10,7
126,35726,РРС-26,10,7
127,35730,РРС-30,10,7
128,35732,РРС-32,10,7
129,35734,РРС-34,10,7
130,35749,РРС-49,10,7
131,35751,РРС-51,10,7
132,35752,РРС-52,10,7
133,35757,РРС-57,10,7
134,35760,РРС-60,10,7
135,35765,РРС-65,10,7
136,35766,РРС-66,10,7
137,35807,РРС-7,10,7
138,35808,РРС-8,10,7
139,35809,РРС-9,10,7
140,35810,РРС-10,10,7
141,35811,РРС-11,10,7
142,35858,РРС-58,10,7
143,35902,РРС-Шумкар,2,7
144,35916,РРС-16,10,7
145,35917,РРС-17,10,7
146,35935,РРС-35,10,7
147,35992,Токмок,1,7
148,35992/MSAN-300,Токмок MSAN Школа,1,7
149,35992/MSAN-313,Токмок MSAN Ворошилова,1,7
150,35992/MSAN-328,Токмок MSAN Телеком,1,7
151,35992/MSAN-348,Токмок MSAN Татарская,1,7
152,35992/MSAN-362,Токмок MSAN Сахзавод,1,7
153,35992/MSAN-392,Токмок MSAN Новостройка,1,7
154,35992/MSAN-600,Токмок MSAN Гостиница,1,7
155,35992/SL2,Токмок ЦИКТ,1,7
156,35992/АТС-2,Токмок АТС-2,1,7
157,35992/ЦАТС-51,Токмок ЦАТС-51,1,7
158,35992/ЦАТС-54,Токмок ЦАТС-54,1,7
159,35992/ЦАТС-56,Токмок ЦАТС-56,1,7
160,35992/ЦАТС-57,Токмок ЦАТС-57,1,7
161,35992/ЦАТС-61,Токмок ЦАТС-61,1,7
162,35993,Баткен,13,7
163,35993/CX200,Баткен CX200,13,7
164,35993/ЦАТС-5,Баткен ЦАТС-5,13,7
165,35993/ЦИКТ,Баткен ЦИКТ,13,7
166,35994,Жалал-Абад,6,7
167,35994/Iwata,Iwata Chizaki Ink,6,7
168,35994/MSAN-700,Ж-Абад MSAN-700,6,7
169,35994/MSAN-760,Жалалабат MSAN Ынтымак,6,7
170,35994/MSAN-767,"Жалалабат MSAN Роза_x000d_
Парк",6,7
171,35994/MSAN-Жениш,Жалалабат MSAN Жениш,6,7
172,35994/мост,Жалал-Абад мост,6,7
173,35994/ЦАТС-2,Ж-Абад ЦАТС-2,6,7
174,35994/ЦАТС-4,Жалалабат ЦАТС-4,6,7
175,35994/ЦАТС-5,Ж-Абад ЦАТС-5,6,7
176,35994/ЦИКТ,Ж-Абад ЦИКТ,6,7
177,35995,Бишкек,7,7
178,35995 DDF,Бишкек Аренда,7,7
179,35995 SL1,Switch WoIP,12,7
180,35995 SL2,Бишкек SL2,12,7
181,35995/M-GW,Бишкек  MUX GW,7,7
182,35995/M-GW2,Бишкек ЦСП,7,7
183,35995/АЦП,Бишкек/АЦП,7,7
184,35995/НЭСК,Бишкек НЭСК,7,7
185,35996,Нарын,3,7
186,35996/АЦП,Нарын АЦП,3,7
187,35996/ЦАТС-1,Нарын ЦАТС-1,3,7
188,35996/ЦАТС-3,Нарын ЦАТС-3,3,7
189,35996/ЦАТС-4,Нарын ЦАТС-4,3,7
190,35996/ЦАТС-5,Нарын ЦАТС-5,3,7
191,35996/ЦАТС-6,Нарын ЦАТС-6,3,7
192,35996/ЦИКТ,Нарын ЦИКТ,3,7
193,35997,Ош,5,7
194,35997 ЦИКТ,Ош ЦИКТ,5,7
195,35997/C7803,ЦИКТ C7803,5,7
196,35997/DDF,Ош Аренда,5,7
197,35997/MSAN-300,Ош Honet-АТС-3,5,7
198,35997/MSAN-340,Ош Honet-Фуркат Ош,5,7
199,35997/MSAN-350,Ош Honet-(RSU-5A),5,7
200,35997/MSAN-361,Ош Honet-Айни,5,7
201,35997/MSAN-370,Ош Honet-Ани Обзорная,5,7
202,35997/MSAN-380,Ош Honet-К-Датка 223,5,7
203,35997/MSAN-392,Ош Honet-К-Датка,5,7
204,35997/MSAN-400,Ош Honet-Петрова-47,5,7
205,35997/MSAN-410,Ош Honet- Горбаня,5,7
206,35997/MSAN-416,Ош Honet-Толонов,5,7
207,35997/MSAN-420,Ош Honet-(RSU-5),5,7
208,35997/MSAN-433,Ош Honet-Исанова КУУ,5,7
209,35997/MSAN-445,Ош Honet-ЭМУ DF-410,5,7
210,35997/MSAN-480,Ош Honet-Исанова 37,5,7
211,35997/MSAN-500,Ош Honet-Алиева,5,7
212,35997/MSAN-510,Ош Honet-Низами,5,7
213,35997/MSAN-520,Ош Honet-Толонов-Южная,5,7
214,35997/MSAN-530,Ош Honet-Сарычелек,5,7
215,35997/MSAN-540,Ош Honet-Королёва,5,7
216,35997/MSAN-580,Ош Honet-Тахтехский мост,5,7
217,35997/MSAN-585,Ош Honet-Саргалчаева,5,7
218,35997/MSAN-595,Ош Honet-ПМК-414,5,7
219,35997/MSAN-608,Ош Honet-Ак-Тилек,5,7
220,35997/MSAN-620,Ош Honet-Осмонова,5,7
221,35997/MSAN-664,Ош Honet-Нурматова,5,7
222,35997/MSAN-672,Ош Honet-Ленинградская,5,7
223,35997/MSAN-682,Ош Honet-Анар,5,7
224,35997/MSAN-690,Ош Honet-Кенеш,5,7
225,35997/MSAN-773,Ош MSAN ул Тимура,5,7
226,35997/MSAN-780,Ош Honet-Навои,5,7
227,35997/MSAN-790,Ош Honet-ТУРМ,5,7
228,35997/MSAN-800,Ош Honet-324 (ул.Шарк),5,7
229,35997/MSAN-806,Ош Honet-325 (ул.Шарк),5,7
230,35997/MSAN-810,Ош Honet-307 (ул.Салиевой),5,7
231,35997/MSAN-822,Ош Honet-305 (ул.Салиевой),5,7
232,35997/MSAN-833,Ош Honet-317 (ул.Салиевой),5,7
233,35997/MSAN-841,Ош Honet-301 (ул.Раззакова),5,7
234,35997/MSAN-848,Ош Honet-302,5,7
235,35997/MSAN-859,Ош Honet-311,5,7
236,35997/MSAN-869,Ош Honet-333,5,7
237,35997/MSAN-879,Ош Honet-330 (ул.Мануева),5,7
238,35997/MSAN-887,Ош Honet-329 (ул.Мануева),5,7
239,35997/MSAN-895,Ош Honet-338 (ул.Маруфий),5,7
240,35997/АЦП,Ош ЛАЦ,5,7
241,35997/К2703/М2,0ш К2703/М6,5,7
242,35997/К603/М1,Ош К603 М1,5,7
243,35997/Кенш,Ош Кенеш,5,7
244,35997/Сулайман-Тоо,Ош Сулайман-Тоо,5,7
245,35997/Ц5/S7803,ОШ ЦАТС-5 S7803,5,7
246,35997/ЦАТС-2,Ош MSU-2/7,5,7
247,35997/ЦИКТ,Ош ЦИКТ,5,7
248,35997/ЦПД,Ош ЦПД,5,7
249,35997/ЭлТр,Ош ЭлТр,5,7
250,35998,Каракол,4,7
251,35998/АТС-2,Каракол АТС-2,4,7
252,35998/АЦП,Каракол АЦП,4,7
253,35998/Гебзе,Каракол Гебзе,4,7
254,35998/К608/М4,Каракол К608/М4,4,7
255,35998/ЦАТС-3,Каракол ЦАТС-3,4,7
256,35998/ЦАТС-4,Каракол ЦАТС-4,4,7
257,35998/ЦАТС-5,Каракол ЦАТС-5,4,7
258,35998/ЦАТС-57,Каракол ЦАТС-57,4,7
259,35998/ЦАТС-7,Каракол ЦАТС-7,4,7
260,35998/ЦАТС-9,Каракол ЦАТС-9,4,7
261,35998/ЦИКТ,Каракол ЦИКТ,4,7
262,35999,Талас,2,7
263,35999/RSU-51,Талас RSU-51,2,7
264,35999/Анар,Талас Анар,2,7
